,ori,data_year,offense,state_abbr,cleared,actual
1,AL0010100,2014,property-crime,AL,57,1865
2,AL0010200,2014,property-crime,AL,1995,13929
3,AL0010300,2014,property-crime,AL,50,211
4,AL0010400,2014,property-crime,AL,147,790
5,AL0010500,2014,property-crime,AL,176,562
6,AL0010600,2014,property-crime,AL,111,522
7,AL0010700,2014,property-crime,AL,12,257
8,AL0010800,2014,property-crime,AL,60,399
9,AL0010900,2014,property-crime,AL,344,456
10,AL0011000,2014,property-crime,AL,115,1034
11,AL0011200,2014,property-crime,AL,701,2259
12,AL0011300,2014,property-crime,AL,131,403
13,AL0011400,2014,property-crime,AL,9,120
14,AL0011800,2014,property-crime,AL,3,161
15,AL0011900,2014,property-crime,AL,120,593
16,AL0012000,2014,property-crime,AL,2,42
17,AL0012200,2014,property-crime,AL,199,373
18,AL0012300,2014,property-crime,AL,14,64
19,AL0012400,2014,property-crime,AL,37,532
0,AL0010000,2015,property-crime,AL,278,3436
1,AL0010100,2015,property-crime,AL,19,2641
2,AL0010200,2015,property-crime,AL,1525,13499
3,AL0010300,2015,property-crime,AL,61,266
4,AL0010400,2015,property-crime,AL,5,32
5,AL0010500,2015,property-crime,AL,281,626
6,AL0010600,2015,property-crime,AL,89,506
7,AL0010700,2015,property-crime,AL,19,234
8,AL0010800,2015,property-crime,AL,157,507
9,AL0010900,2015,property-crime,AL,254,422
10,AL0011000,2015,property-crime,AL,116,1038
11,AL0011100,2015,property-crime,AL,47,140
12,AL0011200,2015,property-crime,AL,732,2462
13,AL0011300,2015,property-crime,AL,248,399
14,AL0011400,2015,property-crime,AL,3,144
15,AL0011800,2015,property-crime,AL,4,118
16,AL0011900,2015,property-crime,AL,75,548
17,AL0012000,2015,property-crime,AL,1,44
18,AL0012200,2015,property-crime,AL,166,330
19,AL0012300,2015,property-crime,AL,14,82
0,AL0010000,2016,property-crime,AL,239,2659
1,AL0010100,2016,property-crime,AL,27,2403
2,AL0010200,2016,property-crime,AL,1049,12470
3,AL0010300,2016,property-crime,AL,84,289
4,AL0010400,2016,property-crime,AL,29,470
5,AL0010500,2016,property-crime,AL,146,430
6,AL0010600,2016,property-crime,AL,99,555
7,AL0010700,2016,property-crime,AL,25,296
8,AL0010800,2016,property-crime,AL,118,428
9,AL0010900,2016,property-crime,AL,302,397
10,AL0011000,2016,property-crime,AL,74,974
11,AL0011100,2016,property-crime,AL,74,414
12,AL0011200,2016,property-crime,AL,198,1162
13,AL0011300,2016,property-crime,AL,226,336
14,AL0011400,2016,property-crime,AL,8,199
15,AL0011800,2016,property-crime,AL,0,13
16,AL0011900,2016,property-crime,AL,115,546
17,AL0012000,2016,property-crime,AL,7,28
18,AL0012100,2016,property-crime,AL,0,2
19,AL0012200,2016,property-crime,AL,138,250
0,AL0010000,2017,property-crime,AL,220,2311
1,AL0010100,2017,property-crime,AL,22,2581
2,AL0010200,2017,property-crime,AL,562,8884
3,AL0010300,2017,property-crime,AL,66,314
4,AL0010400,2017,property-crime,AL,96,738
5,AL0010500,2017,property-crime,AL,70,244
6,AL0010600,2017,property-crime,AL,94,429
7,AL0010700,2017,property-crime,AL,20,292
8,AL0010800,2017,property-crime,AL,139,337
9,AL0010900,2017,property-crime,AL,309,425
10,AL0011000,2017,property-crime,AL,75,960
11,AL0011100,2017,property-crime,AL,97,381
12,AL0011200,2017,property-crime,AL,65,997
13,AL0011300,2017,property-crime,AL,285,394
14,AL0011400,2017,property-crime,AL,3,164
15,AL0011900,2017,property-crime,AL,123,557
16,AL0012000,2017,property-crime,AL,4,68
17,AL0012100,2017,property-crime,AL,180,636
18,AL0012200,2017,property-crime,AL,94,261
19,AL0012300,2017,property-crime,AL,12,49
0,AL0010000,2018,property-crime,AL,246,2255
1,AL0010100,2018,property-crime,AL,11,1464
2,AL0010200,2018,property-crime,AL,949,13295
3,AL0010300,2018,property-crime,AL,60,228
4,AL0010400,2018,property-crime,AL,43,855
5,AL0010500,2018,property-crime,AL,152,347
6,AL0010600,2018,property-crime,AL,0,10
7,AL0010700,2018,property-crime,AL,5,90
8,AL0010800,2018,property-crime,AL,175,368
9,AL0010900,2018,property-crime,AL,277,435
10,AL0011000,2018,property-crime,AL,92,956
11,AL0011100,2018,property-crime,AL,129,366
12,AL0011200,2018,property-crime,AL,257,1189
13,AL0011300,2018,property-crime,AL,234,350
14,AL0011400,2018,property-crime,AL,3,127
15,AL0011800,2018,property-crime,AL,0,0
16,AL0011900,2018,property-crime,AL,119,531
17,AL0012000,2018,property-crime,AL,0,19
18,AL0012100,2018,property-crime,AL,357,654
19,AL0012200,2018,property-crime,AL,104,289
0,AL0010000,2019,property-crime,AL,73,499
1,AL0010100,2019,property-crime,AL,12,968
2,AL0010300,2019,property-crime,AL,20,59
3,AL0010400,2019,property-crime,AL,37,413
4,AL0010500,2019,property-crime,AL,0,7
5,AL0010600,2019,property-crime,AL,6,60
6,AL0010700,2019,property-crime,AL,4,179
7,AL0010800,2019,property-crime,AL,108,239
8,AL0010900,2019,property-crime,AL,117,254
